"","Date","Marino"
"1",2011-01-01,16.8
"2",2011-01-02,12.6
"3",2011-01-03,25.1
"4",2011-01-04,8.1
"5",2011-01-05,8.3
"6",2011-01-06,24.6
"7",2011-01-07,14.3
"8",2011-01-08,12.5
"9",2011-01-09,9.9
"10",2011-01-10,11
"11",2011-01-11,48.7
"12",2011-01-12,6.9
"13",2011-01-13,9.7
"14",2011-01-14,3.5
"15",2011-01-15,2.2
"16",2011-01-16,6.7
"17",2011-01-17,15.8
"18",2011-01-18,17.9
"19",2011-01-19,27.6
"20",2011-01-20,67.8
"21",2011-01-21,56
"22",2011-01-22,41.2
"23",2011-01-23,27.2
"24",2011-01-24,15.7
"25",2011-01-25,8.3
"26",2011-01-26,4.2
"27",2011-01-27,4.4
"28",2011-01-28,10.6
"29",2011-01-29,12.5
"30",2011-01-30,28.5
"31",2011-01-31,26.5
"32",2011-02-01,9.2
"33",2011-02-02,2.8
"34",2011-02-03,3.3
"35",2011-02-04,4.2
"36",2011-02-05,7.6
"37",2011-02-06,5.6
"38",2011-02-07,6
"39",2011-02-08,7.2
"40",2011-02-09,10.3
"41",2011-02-10,8.3
"42",2011-02-11,7.9
"43",2011-02-12,6.4
"44",2011-02-13,8.7
"45",2011-02-14,6.1
"46",2011-02-15,5.4
"47",2011-02-16,4.7
"48",2011-02-17,10.6
"49",2011-02-18,8.51839150227618
"50",2011-02-19,8.5
"51",2011-02-20,7.6
"52",2011-02-21,14.6
"53",2011-02-22,11.2
"54",2011-02-23,7.4
"55",2011-02-24,10.1
"56",2011-02-25,8.3
"57",2011-02-26,7.2
"58",2011-02-27,7.5
"59",2011-02-28,14.7
"60",2011-03-01,20.4
"61",2011-03-02,30.4
"62",2011-03-03,37.9
"63",2011-03-04,37.6
"64",2011-03-05,31
"65",2011-03-06,11.1
"66",2011-03-07,21.9
"67",2011-03-08,16.9
"68",2011-03-09,4
"69",2011-03-10,6.7
"70",2011-03-11,6.7
"71",2011-03-12,5.1
"72",2011-03-13,3.9
"73",2011-03-14,6.3
"74",2011-03-15,20.7
"75",2011-03-16,26.7
"76",2011-03-17,12.1
"77",2011-03-18,12.6
"78",2011-03-19,8.6
"79",2011-03-20,5.4
"80",2011-03-21,5.4
"81",2011-03-22,6.9
"82",2011-03-23,15.6
"83",2011-03-24,8.51839150227618
"84",2011-03-25,16.4
"85",2011-03-26,17.8
"86",2011-03-27,32.1
"87",2011-03-28,12.4
"88",2011-03-29,32.5
"89",2011-03-30,8.9
"90",2011-03-31,6.5
"91",2011-04-01,6
"92",2011-04-02,2.6
"93",2011-04-03,5.6
"94",2011-04-04,4.6
"95",2011-04-05,3.9
"96",2011-04-06,1.1
"97",2011-04-07,9.6
"98",2011-04-08,13.8
"99",2011-04-09,12.4
"100",2011-04-10,19.3
"101",2011-04-11,6.3
"102",2011-04-12,4.7
"103",2011-04-13,7.6
"104",2011-04-14,9.7
"105",2011-04-15,9
"106",2011-04-16,6.1
"107",2011-04-17,10.7
"108",2011-04-18,13.9
"109",2011-04-19,41.1
"110",2011-04-20,8.51839150227618
"111",2011-04-21,42.5
"112",2011-04-22,23.2
"113",2011-04-23,8.51839150227618
"114",2011-04-24,8.51839150227618
"115",2011-04-25,8.51839150227618
"116",2011-04-26,8.51839150227618
"117",2011-04-27,8.51839150227618
"118",2011-04-28,8.51839150227618
"119",2011-04-29,10.4
"120",2011-04-30,6.1
"121",2011-05-01,2.6
"122",2011-05-02,8.51839150227618
"123",2011-05-03,2.5
"124",2011-05-04,7.6
"125",2011-05-05,7.1
"126",2011-05-06,8.3
"127",2011-05-07,11.3
"128",2011-05-08,32.4
"129",2011-05-09,2.1
"130",2011-05-10,3.7
"131",2011-05-11,2.8
"132",2011-05-12,1.9
"133",2011-05-13,8.51839150227618
"134",2011-05-14,8.51839150227618
"135",2011-05-15,8.51839150227618
"136",2011-05-16,0.7
"137",2011-05-17,8.51839150227618
"138",2011-05-18,7.4
"139",2011-05-19,6
"140",2011-05-20,7.5
"141",2011-05-21,3.9
"142",2011-05-22,4.3
"143",2011-05-23,5.4
"144",2011-05-24,4.9
"145",2011-05-25,5.6
"146",2011-05-26,3.6
"147",2011-05-27,5
"148",2011-05-28,3.9
"149",2011-05-29,6.4
"150",2011-05-30,6
"151",2011-05-31,5.8
"152",2011-06-01,8.51839150227618
"153",2011-06-02,4.6
"154",2011-06-03,7.4
"155",2011-06-04,5.4
"156",2011-06-05,3.8
"157",2011-06-06,8.51839150227618
"158",2011-06-07,1.4
"159",2011-06-08,1.7
"160",2011-06-09,3.3
"161",2011-06-10,4.2
"162",2011-06-11,4.2
"163",2011-06-12,4.2
"164",2011-06-13,2.5
"165",2011-06-14,5.1
"166",2011-06-15,2.2
"167",2011-06-16,0.8
"168",2011-06-17,8.51839150227618
"169",2011-06-18,8.51839150227618
"170",2011-06-19,8.51839150227618
"171",2011-06-20,8.51839150227618
"172",2011-06-21,8.51839150227618
"173",2011-06-22,0.7
"174",2011-06-23,8.51839150227618
"175",2011-06-24,1.5
"176",2011-06-25,8.51839150227618
"177",2011-06-26,0.3
"178",2011-06-27,2.5
"179",2011-06-28,1.4
"180",2011-06-29,1.4
"181",2011-06-30,8.51839150227618
"182",2011-07-01,5.4
"183",2011-07-02,6.1
"184",2011-07-03,5.1
"185",2011-07-04,7.8
"186",2011-07-05,6.5
"187",2011-07-06,3.5
"188",2011-07-07,5.3
"189",2011-07-08,5
"190",2011-07-09,6.7
"191",2011-07-10,4.7
"192",2011-07-11,5.6
"193",2011-07-12,5.4
"194",2011-07-13,5.3
"195",2011-07-14,6.9
"196",2011-07-15,5.3
"197",2011-07-16,3.1
"198",2011-07-17,6.5
"199",2011-07-18,4
"200",2011-07-19,6.1
"201",2011-07-20,5.7
"202",2011-07-21,7.9
"203",2011-07-22,6.8
"204",2011-07-23,8.9
"205",2011-07-24,5.7
"206",2011-07-25,7.2
"207",2011-07-26,9
"208",2011-07-27,6.2
"209",2011-07-28,4.7
"210",2011-07-29,4.6
"211",2011-07-30,9
"212",2011-07-31,6.1
"213",2011-08-01,5.7
"214",2011-08-02,4.3
"215",2011-08-03,7.4
"216",2011-08-04,3.5
"217",2011-08-05,4.2
"218",2011-08-06,8.1
"219",2011-08-07,3.6
"220",2011-08-08,6.5
"221",2011-08-09,5
"222",2011-08-10,5.6
"223",2011-08-11,2.9
"224",2011-08-12,5.4
"225",2011-08-13,2.5
"226",2011-08-14,4.4
"227",2011-08-15,4.7
"228",2011-08-16,2.8
"229",2011-08-17,5.6
"230",2011-08-18,9
"231",2011-08-19,6.1
"232",2011-08-20,6.7
"233",2011-08-21,1.5
"234",2011-08-22,3.9
"235",2011-08-23,9
"236",2011-08-24,3.9
"237",2011-08-25,7.8
"238",2011-08-26,6.9
"239",2011-08-27,4.2
"240",2011-08-28,4
"241",2011-08-29,5.3
"242",2011-08-30,4.2
"243",2011-08-31,6
"244",2011-09-01,11.2
"245",2011-09-02,8.5
"246",2011-09-03,5.8
"247",2011-09-04,9.3
"248",2011-09-05,9.2
"249",2011-09-06,10.7
"250",2011-09-07,5.3
"251",2011-09-08,4.7
"252",2011-09-09,3.5
"253",2011-09-10,2.9
"254",2011-09-11,4.2
"255",2011-09-12,3.75
"256",2011-09-13,1.7
"257",2011-09-14,3.6
"258",2011-09-15,8.51839150227618
"259",2011-09-16,5
"260",2011-09-17,4
"261",2011-09-18,2.1
"262",2011-09-19,4.7
"263",2011-09-20,4.4
"264",2011-09-21,7.1
"265",2011-09-22,10.4
"266",2011-09-23,6.8
"267",2011-09-24,3.5
"268",2011-09-25,3.9
"269",2011-09-26,5.3
"270",2011-09-27,5.4
"271",2011-09-28,10.7
"272",2011-09-29,9
"273",2011-09-30,18.8
"274",2011-10-01,6.5
"275",2011-10-02,12.2
"276",2011-10-03,6.5
"277",2011-10-04,3.6
"278",2011-10-05,0.1
"279",2011-10-06,3.1
"280",2011-10-07,2.8
"281",2011-10-08,2.2
"282",2011-10-09,2.8
"283",2011-10-10,4.6
"284",2011-10-11,1.2
"285",2011-10-12,0.4
"286",2011-10-13,5
"287",2011-10-14,8.1
"288",2011-10-15,3.3
"289",2011-10-16,4.4
"290",2011-10-17,1.9
"291",2011-10-18,2.1
"292",2011-10-19,5.6
"293",2011-10-20,7.2
"294",2011-10-21,5.4
"295",2011-10-22,11.8
"296",2011-10-23,9.17
"297",2011-10-24,11
"298",2011-10-25,12.9
"299",2011-10-26,9.4
"300",2011-10-27,8.8
"301",2011-10-28,8.3
"302",2011-10-29,7.9
"303",2011-10-30,9.3
"304",2011-10-31,13.7
"305",2011-11-01,6.9
"306",2011-11-02,8.3
"307",2011-11-03,9.4
"308",2011-11-04,10.3
"309",2011-11-05,19.3
"310",2011-11-06,29.4
"311",2011-11-07,29.7
"312",2011-11-08,13.9
"313",2011-11-09,7.6
"314",2011-11-10,8.1
"315",2011-11-11,10.7
"316",2011-11-12,6.5
"317",2011-11-13,11.9
"318",2011-11-14,15.3
"319",2011-11-15,12.8
"320",2011-11-16,17.1
"321",2011-11-17,3.3
"322",2011-11-18,5.6
"323",2011-11-19,12.2
"324",2011-11-20,12.2
"325",2011-11-21,10.4
"326",2011-11-22,6.4
"327",2011-11-23,5.4
"328",2011-11-24,5.1
"329",2011-11-25,5.8
"330",2011-11-26,3.5
"331",2011-11-27,7.5
"332",2011-11-28,5.3
"333",2011-11-29,3.5
"334",2011-11-30,3.9
"335",2011-12-01,9.7
"336",2011-12-02,5.7
"337",2011-12-03,6.8
"338",2011-12-04,4.9
"339",2011-12-05,5
"340",2011-12-06,3.8
"341",2011-12-07,8.5
"342",2011-12-08,8.1
"343",2011-12-09,7.6
"344",2011-12-10,8.2
"345",2011-12-11,8.2
"346",2011-12-12,7.2
"347",2011-12-13,4.4
"348",2011-12-14,4.2
"349",2011-12-15,13.9
"350",2011-12-16,16.9
"351",2011-12-17,9.3
"352",2011-12-18,14.6
"353",2011-12-19,6.1
"354",2011-12-20,9.6
"355",2011-12-21,6.1
"356",2011-12-22,5.7
"357",2011-12-23,5.1
"358",2011-12-24,4.3
"359",2011-12-25,4.2
"360",2011-12-26,9.4
"361",2011-12-27,5.4
"362",2011-12-28,5.4
"363",2011-12-29,23.6
"364",2011-12-30,8.5
"365",2011-12-31,6.7
"366",2012-01-01,34.7
"367",2012-01-02,6.8
"368",2012-01-03,7.8
"369",2012-01-04,6.1
"370",2012-01-05,13.5
"371",2012-01-06,5.3
"372",2012-01-07,7.1
"373",2012-01-08,5.3
"374",2012-01-09,6.9
"375",2012-01-10,2.4
"376",2012-01-11,4.4
"377",2012-01-12,10
"378",2012-01-13,25.3
"379",2012-01-14,19.3
"380",2012-01-15,9
"381",2012-01-16,13.9
"382",2012-01-17,11.7
"383",2012-01-18,8.9
"384",2012-01-19,6.7
"385",2012-01-20,7.1
"386",2012-01-21,8.8
"387",2012-01-22,9.7
"388",2012-01-23,16.1
"389",2012-01-24,6.7
"390",2012-01-25,4
"391",2012-01-26,1.4
"392",2012-01-27,4.9
"393",2012-01-28,21.4
"394",2012-01-29,5.8
"395",2012-01-30,5.6
"396",2012-01-31,15
"397",2012-02-01,26.9
"398",2012-02-02,12.5
"399",2012-02-03,15
"400",2012-02-04,17.8
"401",2012-02-05,15.8
"402",2012-02-06,13.5
"403",2012-02-07,12.6
"404",2012-02-08,20.1
"405",2012-02-09,15.1
"406",2012-02-10,8.51839150227618
"407",2012-02-11,16.1
"408",2012-02-12,16.4
"409",2012-02-13,8.6
"410",2012-02-14,10.7
"411",2012-02-15,8.7
"412",2012-02-16,8.2
"413",2012-02-17,3.9
"414",2012-02-18,5.7
"415",2012-02-19,10.4
"416",2012-02-20,5.1
"417",2012-02-21,2.2
"418",2012-02-22,8.51839150227618
"419",2012-02-23,8.51839150227618
"420",2012-02-24,8.51839150227618
"421",2012-02-25,8.51839150227618
